Country,State,County,Payam,HF,DHIS2 ID,Health Facility,HF Level,Colours,Block,LOT
South Sudan,Eastern Equatoria State,Budi County,Nagishot Payam,Kadumakuc PHCU,wmGHRIGymBf,Kadumakuc PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Kapoeta East County,Narus Payam,Kaludo PHCU,Q97k5pNA0NU,Kaludo PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Kapoeta East County,Katodori Payam,Kalupe PHCU,xa0YBjwag2g,Kalupe PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Budi County,Loudo Payam,Kapeta PHCU,BiM4c5SpOi6,Kapeta PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Kapoeta South County,Kapoeta Town Payam,Kapoeta Civil Hospital,oV5sT7FVaVx,Kapoeta Civil Hospital,   County Hospital,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Budi County,Ngauro Payam,Kathac PHCU,wywCpuGHuEt,Kathac PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pageri Payam,Kerepi PHCU,MiQyHCK5dJm,Kerepi PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Eastern Equatoria State,Torit County,Imurok Payam,Khormush PHCU,ki91L2Z0kxE,Khormush PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Kapoeta North County,Karukomuge Payam,Kibak PHCU,MzztF94mDIt,Kibak PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Budi County,Ngauro Payam,Kibongorok PHCU,ku6p2NtYBVz,Kibongorok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Lobone Payam,Kicenga PHCC,x7BCshAZvzd,Kicenga PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Budi County,Lotukei Payam,Kikilai PHCC,rzbxRwvKymW,Kikilai PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Budi County,Kimotong Payam,Kimotong PHCC,Fl0ZidYFLEg,Kimotong PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Budi County,Komori Payam,Komiri PHCC,crPcGgFFnVk,Komiri PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Torit County,Kudo Payam,Kudo PHCC,BQLNrxHvmTI,Kudo PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Kurumi Payam,Kujikor PHCU,ZTzho4qOLOF,Kujikor PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Kapoeta East County,Kauto Payam,Kuron PHCC,eTgFrzpPEyx,Kuron PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Arihilo Payam,Lacharok PHCU,WPYc8f7zTyq,Lacharok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Burgilo Payam,Lafon PHCC,sx9Lt0bSKqr,Lafon PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Lohutok Payam,Lalanga PHCU,yItOo3Uqz5h,Lalanga PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Lerwa PHCU,mNpen2c5c2L,Lerwa PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pageri Payam,Loa Mission PHCC,NvvbQCVu97h,Loa Mission PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Lobone Payam,Lobone PHCC,Eah2o9L9xLF,Lobone PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Nimule Payam,Longu PHCU,C5HHEbRi6Kn,Longu PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Magwi PHCC,H5ymexi3gjf,Magwi PHCC,   PHCC,Green,#REF!,#REF!
